model_name,index,batch_size,optimizer,learning_rate,time_start,time_end,train_loss,train_accuracy,train_precision_macro_avg,train_recall_macro_avg,train_f1_score_macro_avg,val_loss,val_accuracy,val_precision_macro_avg,val_recall_macro_avg,val_f1_score_macro_avg,test_loss,test_accuracy,test_precision_macro_avg,test_recall_macro_avg,test_f1_score_macro_avg
baloglu,31,16,adam,0.01,2025-03-29T19:53:50.638213,2025-03-29T19:54:42.739741,0.4116027057170868,0.6158143281936646,0.5388152045988679,0.3517954768014192,0.3813973214840613,0.4220489859580993,0.6061946749687195,0.511831516296828,0.3371742849983447,0.3636789774541532,0.4301256239414215,0.6058536767959595,0.5189572550329885,0.3234033289925273,0.3481981137840972
rajpurkar,32,16,adam,0.1,2025-03-29T19:54:51.077066,2025-03-29T20:02:54.374432,0.5366297960281372,0.4622137546539306,0.2999998833333861,0.0002067431434497,0.0004129862683072,0.533561646938324,0.4631268382072449,0.0666666444444518,0.0009216589819278,0.0018181818099173,0.5327156782150269,0.4648780524730682,0.0,0.0,0.0
ribeiro,33,16,adam,0.1,2025-03-29T20:03:11.886446,2025-03-29T20:05:41.458938,0.3723171949386596,0.7086377143859863,0.6519121479583382,0.5468532531776867,0.5902511485935613,0.3601535856723785,0.7232055068016052,0.6476315018107063,0.5442857736682906,0.5867678269924049,0.3786317408084869,0.704878032207489,0.6507356879342,0.5313784876094282,0.5794957661971318
ahmed,34,16,adam,0.1,2025-03-29T20:05:52.377215,2025-03-29T20:09:53.003562,0.5315316915512085,0.4630118608474731,0.0,0.0,0.0,0.5302446484565735,0.4631268382072449,0.0,0.0,0.0,0.5299717783927917,0.46536585688591,0.0,0.0,0.0
baloglu,35,16,adam,0.1,2025-03-29T20:10:01.896688,2025-03-29T20:11:34.901985,0.5317590236663818,0.4630118608474731,0.0,0.0,0.0,0.5306029915809631,0.4631268382072449,0.0,0.0,0.0,0.5302698612213135,0.46536585688591,0.0,0.0,0.0
rajpurkar,36,32,sgd,0.001,2025-03-29T20:11:43.032444,2025-03-29T20:33:56.847230,0.3301980793476105,0.7169255614280701,0.7596786787040111,0.5303759145134476,0.5713960330760219,0.3601170480251312,0.6971485018730164,0.7282453468430962,0.4986006755047095,0.5310292447749249,0.3759069442749023,0.6897560954093933,0.744026627596691,0.4956386211348214,0.536310365593714
ribeiro,37,32,sgd,0.001,2025-03-29T20:34:14.526520,2025-03-29T20:44:52.288539,0.3127602636814117,0.738166868686676,0.7961671656403002,0.5770485206779558,0.6364460702610942,0.3573828339576721,0.7177974581718445,0.7600617602474316,0.5370795763735965,0.5927078483480682,0.3710947036743164,0.7170731425285339,0.7623406596563556,0.527443263268266,0.585484181910618
ahmed,38,32,sgd,0.001,2025-03-29T20:45:03.760053,2025-03-29T20:49:16.865627,0.2658558189868927,0.7750015258789062,0.8507016812391367,0.6197292767422209,0.6880320721416073,0.351825088262558,0.7350049018859863,0.7800564423803154,0.5507062648199295,0.6093951379556104,0.3686342239379883,0.7351219654083252,0.7820028436737453,0.5468628345969521,0.605063888580944
baloglu,39,32,sgd,0.001,2025-03-29T20:49:25.759192,2025-03-29T20:55:19.974423,0.3163002729415893,0.7155135273933411,0.7327065997966223,0.5314907695667619,0.5987902222321961,0.3380856812000274,0.7059980630874634,0.6930334492836407,0.4927841681513089,0.5573786710471664,0.3522892594337463,0.6765853762626648,0.6882650091482162,0.4790589555842587,0.5418401287679726
rajpurkar,40,32,sgd,0.01,2025-03-29T20:55:28.364128,2025-03-29T21:01:08.551806,0.3580237329006195,0.7060592770576477,0.7084117053455531,0.5054805644224405,0.5360528779265531,0.370528370141983,0.6892821788787842,0.7054112163307849,0.4879485646976218,0.512112469988014,0.385161280632019,0.6829268336296082,0.7144609379546353,0.4828838433355756,0.5164281188724236
